timestamp,cadence,distance,enhanced_altitude,heart_rate,speed_kmhr,position_lat,position_long
2019-09-15 22:14:49,72.0,4691.52,257.4,,20.354400000000002,504434566.0,-999172979.0
2019-09-15 22:14:52,75.0,4709.59,257.4,,20.858399999999996,504436507.0,-999173117.0
2019-09-15 22:14:55,82.0,4727.12,258.20000000000005,,23.479200000000002,504438397.0,-999173160.0
2019-09-15 22:14:57,69.0,4737.87,259.20000000000005,,20.1204,504439547.0,-999173309.0
2019-09-15 22:14:59,75.0,4749.98,260.6,,20.1204,504440842.0,-999173398.0
2019-09-15 22:15:01,79.0,4764.78,262.20000000000005,,21.027600000000003,504442427.0,-999173282.0
2019-09-15 22:15:02,81.0,4771.35,263.4,,23.076,504443132.0,-999173123.0
2019-09-15 22:15:07,73.0,4816.85,269.0,,30.4992,504448007.0,-999173454.0
2019-09-15 22:15:12,13.0,4860.53,273.0,,29.188800000000004,504452690.0,-999173513.0
2019-09-15 22:15:17,13.0,4892.97,275.6,,23.4468,504456170.0,-999173195.0
2019-09-15 22:15:20,13.0,4904.63,275.79999999999995,,10.9152,504457427.0,-999173119.0
2019-09-15 22:15:25,0.0,4919.6,273.0,,13.7736,504458953.0,-999173697.0
2019-09-15 22:15:26,56.0,4924.84,272.20000000000005,,18.039600000000004,504459389.0,-999174236.0
2019-09-15 22:15:28,67.0,4937.54,270.4,,21.096,504459652.0,-999176032.0
2019-09-15 22:15:32,80.0,4972.13,266.20000000000005,,31.543200000000002,504459915.0,-999181035.0
2019-09-15 22:15:36,72.0,5016.33,260.6,,39.83760000000001,504460313.0,-999187413.0
2019-09-15 22:15:39,75.0,5053.59,256.20000000000005,,44.0028,504460645.0,-999192777.0
2019-09-15 22:15:40,74.0,5065.49,254.4,,43.837199999999996,504461000.0,-999194435.0
2019-09-15 22:15:44,67.0,5110.73,249.0,,41.1804,504463096.0,-999200335.0
2019-09-15 22:15:46,64.0,5132.14,247.20000000000005,,38.7972,504464200.0,-999203055.0
2019-09-15 22:15:48,60.0,5152.58,246.20000000000005,,35.9424,504465202.0,-999205685.0
2019-09-15 22:15:54,60.0,5206.7,245.0,,30.0636,504467869.0,-999212641.0
2019-09-15 22:15:58,85.0,5233.71,244.79999999999995,,21.1968,504469152.0,-999216147.0
